epoch,train_loss,val_loss,train_acc,val_acc
1,0.14483994662229416,1.5200829410462204,0.5568360343972217,0.3286548015241403
2,0.09775450250048548,1.411930757626934,0.6819393914337688,0.45965369218154634
3,0.07657639126980109,0.8702215165166111,0.7505891351083182,0.6232576086432258
4,0.0627774394308119,0.8840416154675018,0.804448486852985,0.6598176819563015
5,0.05060911995725472,0.7149039036859582,0.8495224904911527,0.7404620653065161
6,0.04482039228101417,0.5327978376983721,0.8758785348106499,0.8246274055852988
7,0.03759899961974515,0.4762659722567467,0.9000640813626591,0.8478271354844933
8,0.033174468972292814,0.5135329201338128,0.91438936662808,0.8158491294072252
9,0.02949103429157004,0.48070785217804674,0.9262650901273358,0.8525056672936864
10,0.028372319757430754,0.4787622003693033,0.9311848850669754,0.859113490570588
11,0.02537893569637512,0.28495381783837953,0.9390813626591699,0.921091978970723
12,0.02376213605121845,0.3119796205994615,0.9457892343310733,0.9122172382192639
13,0.0208979896207363,0.406172570067722,0.9517115925252191,0.8976028553513722
14,0.021369000718463288,0.24548892667558841,0.9526107987431784,0.9368157044325471
15,0.02240875961201406,0.2919510683346742,0.9508227220109146,0.9226836444315825
16,0.01811408169834953,0.26664880578276023,0.962150653216471,0.928809144841557
17,0.017577788518559682,0.3513927872677256,0.9622746816603275,0.9105291081850191
18,0.016852454171376312,0.21073884402283113,0.9638767157268067,0.9448222640235373
19,0.01619480020650457,0.19883399612449482,0.9651996857946089,0.9463656971977041
20,0.016184669231023494,0.24255078280937456,0.9655304283115594,0.9402401967877297
